,element,tag,text,href,class,target,rel,role,aria-current,data-ga-action,data-ga-name,data-ga-uri,title,tabindex,aria-haspopup,aria-label,id,style,data-redirect-after,data-skip-link,data-appsantag
0,Przejdź do menu głównego,a,Przejdź do menu głównego,#,['skipLinks__button'],,,,,,,,,,,,,,,,
1,Przejdź do wyszukiwarki,a,Przejdź do wyszukiwarki,#,['skipLinks__button'],,,,,,,,,,,,,,,,
2,Przejdź do logowania,a,Przejdź do logowania,#,['skipLinks__button'],,,,,,,,,,,,,,,,
3,Przejdź do nawigacji dolnej,a,Przejdź do nawigacji dolnej,#,['skipLinks__button'],,,,,,,,,,,,,,,,
4,internetowej,a,internetowej,/klient-indywidualny/bankowosc-internetowa/santander-internet,['link'],,,,,,,,,,,,,,,,
5,mobilnej,a,mobilnej,/klient-indywidualny/bankowosc-internetowa/santander-mobile,['link'],,,,,,,,,,,,,,,,
6, 1 9999,a, 1 9999,tel: 1 9999,['link'],,,,,,,,,,,,,,,,
7,  UA ,a,  UA ,https://www.santander.pl/uk/ukraina-oferta,['header__lang--switcher'],,,,,,,,,,,,,,,,
8,Załóż konto,a,Załóż konto,https://www.centrum24.pl/form/#/ro;formId=11PO20220330K01;productKey=kontodz;isAutomatic=true;ekycPid=56789;ekk=true;selfie=true;paths=p2s14k6w0;hash=a3869285377ae436062bb795feb9bce3,"['header__account--content', 'GA-header-top', 'link']",blank,"['nofollow', 'noopener']",,,,,,,,,,,,,,
9,  UA ,a,  UA ,https://www.santander.pl/uk/ukraina-oferta,['header__lang--switcher'],,,,,,,,,,,,,,,,
10,Placówki i bankomaty,a,Placówki i bankomaty,/przydatne-informacje/placowki-i-bankomaty,['link-popup'],,,,,,,,,,,,,,,,
11,Klient indywidualny,a,Klient indywidualny,/klient-indywidualny,['acn-ga-link'],,,menuitem,page,Klient indywidualny,Menu,\/klient-indywidualny,Klient indywidualny,0,true,Zmień segment,,,,,
12,Select,a,Select,/select,['acn-ga-link'],,,menuitem,,Select,Menu,\/klient-indywidualny,Select,0,true,Zmień segment,,,,,
13,Private Banking,a,Private Banking,/private-banking,['acn-ga-link'],,,menuitem,,Private Banking,Menu,\/klient-indywidualny,Private Banking,0,true,Zmień segment,,,,,
14,Małe firmy,a,Małe firmy,/firmy,['acn-ga-link'],,,menuitem,,Małe firmy,Menu,\/klient-indywidualny,Małe firmy,0,true,Zmień segment,,,,,
15,Duże firmy i korporacje,a,Duże firmy i korporacje,/korporacje,['acn-ga-link'],,,menuitem,,Duże firmy i korporacje,Menu,\/klient-indywidualny,Duże firmy i korporacje,0,true,Zmień segment,,,,,
16,   ,a,   ,/klient-indywidualny,,,,,,,,,,,,,,,,,
17,Oferta,a,Oferta,#,"['has_second_level_component', 'acn-ga-link']",,,menuitem,,Oferta,Menu,\/klient-indywidualny,Oferta,,,,,,,,
18,Konta bankowe,a,Konta bankowe,/klient-indywidualny/konta,,,,,,,,,Konta bankowe,,,,,,,,
19,Konto Jakie Chcę,a,Konto Jakie Chcę,/klient-indywidualny/konta/konto-jakie-chce,['acn-ga-link'],,,menuitem,,Konto Jakie Chcę,Menu,\/klient-indywidualny,Konto Jakie Chcę,,,,,,,,
20,Konto Jakie Chcę dla studenta,a,Konto Jakie Chcę dla studenta,/klient-indywidualny/konta/konto-jakie-chce-dla-studenta,['acn-ga-link'],,,menuitem,,Konto Jakie Chcę dla studenta,Menu,\/klient-indywidualny,Konto Jakie Chcę dla studenta,,,,,,,,
21,Konto Jakie Chcę dla młodych (13-17 lat),a,Konto Jakie Chcę dla młodych (13-17 lat),/klient-indywidualny/konta/konto-jakie-chce-dla-mlodych,['acn-ga-link'],,,menuitem,,Konto Jakie Chcę dla młodych (13-17 lat),Menu,\/klient-indywidualny,Konto Jakie Chcę dla młodych (13-17 lat),,,,,,,,
22,Konto Jakie Chcę dla dziecka (0-12 lat),a,Konto Jakie Chcę dla dziecka (0-12 lat),/klient-indywidualny/konta/konto-jakie-chce-dla-dzieci,['acn-ga-link'],,,menuitem,,Konto Jakie Chcę dla dziecka (0-12 lat),Menu,\/klient-indywidualny,Konto Jakie Chcę dla dziecka (0-12 lat),,,,,,,,
23,Konto24 walutowe,a,Konto24 walutowe,/klient-indywidualny/konta/konto24-walutowe,['acn-ga-link'],,,menuitem,,Konto24 walutowe,Menu,\/klient-indywidualny,Konto24 walutowe,,,,,,,,
24,Konto systematyczne,a,Konto systematyczne,/klient-indywidualny/oszczednosci-i-inwestycje/konto-systematyczne,['acn-ga-link'],,,menuitem,,Konto systematyczne,Menu,\/klient-indywidualny,Konto systematyczne,,,,,,,,
25,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/konta,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
26,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/konta,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
27,Kredyty,a,Kredyty,/klient-indywidualny/kredyty,,,,,,,,,Kredyty,,,,,,,,
28,Kredyt gotówkowy online,a,Kredyt gotówkowy online,/klient-indywidualny/kredyty/kredyt-gotowkowy-online,['acn-ga-link'],,,menuitem,,Kredyt gotówkowy online,Menu,\/klient-indywidualny,Kredyt gotówkowy online,,,,,,,,
29,Kredyt konsolidacyjny,a,Kredyt konsolidacyjny,/klient-indywidualny/kredyty/kredyt-konsolidacyjny,['acn-ga-link'],,,menuitem,,Kredyt konsolidacyjny,Menu,\/klient-indywidualny,Kredyt konsolidacyjny,,,,,,,,
30,EKO kredyt gotówkowy,a,EKO kredyt gotówkowy,/klient-indywidualny/kredyty/eko-kredyt-gotowkowy,['acn-ga-link'],,,menuitem,,EKO kredyt gotówkowy,Menu,\/klient-indywidualny,EKO kredyt gotówkowy,,,,,,,,
31,Kredyt gotówkowy,a,Kredyt gotówkowy,/klient-indywidualny/kredyty/kredyt-gotowkowy,['acn-ga-link'],,,menuitem,,Kredyt gotówkowy,Menu,\/klient-indywidualny,Kredyt gotówkowy,,,,,,,,
32,Kredyt w rachunku płatniczym,a,Kredyt w rachunku płatniczym,/klient-indywidualny/kredyty/kredyt-w-rachunku-platniczym,['acn-ga-link'],,,menuitem,,Kredyt w rachunku płatniczym,Menu,\/klient-indywidualny,Kredyt w rachunku płatniczym,,,,,,,,
33,Kredyt hipoteczny,a,Kredyt hipoteczny,/klient-indywidualny/kredyty/kredyt-mieszkaniowy,['acn-ga-link'],,,menuitem,,Kredyt hipoteczny,Menu,\/klient-indywidualny,Kredyt hipoteczny,,,,,,,,
34,Pożyczka hipoteczna,a,Pożyczka hipoteczna,/klient-indywidualny/kredyty/pozyczka-hipoteczna,['acn-ga-link'],,,menuitem,,Pożyczka hipoteczna,Menu,\/klient-indywidualny,Pożyczka hipoteczna,,,,,,,,
35,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/kredyty,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
36,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/kredyty,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
37,"Karty, płatności i kantor",a,"Karty, płatności i kantor",/klient-indywidualny/karty-platnosci-i-kantor,,,,,,,,,"Karty, płatności i kantor",,,,,,,,
38,Karta Dopasowana,a,Karta Dopasowana,/klient-indywidualny/karty-platnosci-i-kantor/karta-dopasowana,['acn-ga-link'],,,menuitem,,Karta Dopasowana,Menu,\/klient-indywidualny,Karta Dopasowana,,,,,,,,
39,Karta kredytowa Visa Silver Akcja Pajacyk,a,Karta kredytowa Visa Silver Akcja Pajacyk,/klient-indywidualny/karty-platnosci-i-kantor/karta-kredytowa-visa-silver-akcja-pajacyk,['acn-ga-link'],,,menuitem,,Karta kredytowa Visa Silver Akcja Pajacyk,Menu,\/klient-indywidualny,Karta kredytowa Visa Silver Akcja Pajacyk,,,,,,,,
40,Karta Mastercard walutowa,a,Karta Mastercard walutowa,/klient-indywidualny/karty-platnosci-i-kantor/karta-walutowa,['acn-ga-link'],,,menuitem,,Karta Mastercard walutowa,Menu,\/klient-indywidualny,Karta Mastercard walutowa,,,,,,,,
41,Kantor Santander,a,Kantor Santander,/klient-indywidualny/karty-platnosci-i-kantor/kantor-santander,['acn-ga-link'],,,menuitem,,Kantor Santander,Menu,\/klient-indywidualny,Kantor Santander,,,,,,,,
42,Doładowania,a,Doładowania,/klient-indywidualny/karty-platnosci-i-kantor/tutaj-doladuj,['acn-ga-link'],,,menuitem,,Doładowania,Menu,\/klient-indywidualny,Doładowania,,,,,,,,
43,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/karty-platnosci-i-kantor,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
44,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/karty-platnosci-i-kantor,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
45,Oszczędności i inwestycje,a,Oszczędności i inwestycje,/klient-indywidualny/oszczednosci-i-inwestycje,,,,,,,,,Oszczędności i inwestycje,,,,,,,,
46,Moje cele,a,Moje cele,/klient-indywidualny/oszczednosci-i-inwestycje/moje-cele,['acn-ga-link'],,,menuitem,,Moje cele,Menu,\/klient-indywidualny,Moje cele,,,,,,,,
47,Lokata mobilna,a,Lokata mobilna,/klient-indywidualny/oszczednosci-i-inwestycje/lokata-mobilna,['acn-ga-link'],,,menuitem,,Lokata mobilna,Menu,\/klient-indywidualny,Lokata mobilna,,,,,,,,
48,Lokata z funduszem,a,Lokata z funduszem,/klient-indywidualny/oszczednosci-i-inwestycje/lokata-z-funduszem,['acn-ga-link'],,,menuitem,,Lokata z funduszem,Menu,\/klient-indywidualny,Lokata z funduszem,,,,,,,,
49,Fundusze inwestycyjne,a,Fundusze inwestycyjne,/klient-indywidualny/oszczednosci-i-inwestycje/fundusze-inwestycyjne,['acn-ga-link'],,,menuitem,,Fundusze inwestycyjne,Menu,\/klient-indywidualny,Fundusze inwestycyjne,,,,,,,,
50,IKE,a,IKE,/tfi/emerytura/indywidualne-konto-emerytalne,['acn-ga-link'],,,menuitem,,IKE,Menu,\/klient-indywidualny,IKE,,,,,,,,
51,Rachunek maklerski standard,a,Rachunek maklerski standard,/klient-indywidualny/oszczednosci-i-inwestycje/rachunek-maklerski-standard,['acn-ga-link'],,,menuitem,,Rachunek maklerski standard,Menu,\/klient-indywidualny,Rachunek maklerski standard,,,,,,,,
52,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/oszczednosci-i-inwestycje,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
53,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/oszczednosci-i-inwestycje,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
54,Ubezpieczenia,a,Ubezpieczenia,/klient-indywidualny/ubezpieczenia,,,,,,,,,Ubezpieczenia,,,,,,,,
55,Życie i zdrowie,a,Życie i zdrowie,/klient-indywidualny/ubezpieczenia/zycie-i-zdrowie,['acn-ga-link'],,,menuitem,,Życie i zdrowie,Menu,\/klient-indywidualny,Życie i zdrowie,,,,,,,,
56,Ubezpieczenie OC/AC,a,Ubezpieczenie OC/AC,/klient-indywidualny/ubezpieczenia/ubezpieczenie-oc-ac,['acn-ga-link'],,,menuitem,,Ubezpieczenie OC/AC,Menu,\/klient-indywidualny,Ubezpieczenie OC/AC,,,,,,,,
57,Locum Comfort,a,Locum Comfort,/klient-indywidualny/ubezpieczenia/locum-comfort,['acn-ga-link'],,,menuitem,,Locum Comfort,Menu,\/klient-indywidualny,Locum Comfort,,,,,,,,
58,Na podróż,a,Na podróż,/klient-indywidualny/ubezpieczenia/na-podroz,['acn-ga-link'],,,menuitem,,Na podróż,Menu,\/klient-indywidualny,Na podróż,,,,,,,,
59,Spokojny kredyt,a,Spokojny kredyt,/klient-indywidualny/ubezpieczenia/spokojny-kredyt,['acn-ga-link'],,,menuitem,,Spokojny kredyt,Menu,\/klient-indywidualny,Spokojny kredyt,,,,,,,,
60,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/ubezpieczenia,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
61,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/ubezpieczenia,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
